Date,Open,High,Low,Close,Adj Close,Volume
2012-03-01,311.441437,329.624634,297.217224,320.940948,320.940948,94564700
2012-04-01,320.705719,326.896912,295.395386,302.727722,302.727722,117636800
2012-05-01,302.197205,319.244232,289.789795,290.720734,290.720734,117228000
2012-06-01,286.181183,294.239227,278.538544,290.325317,290.325317,92914500
2012-07-01,291.201202,321.621613,281.326324,316.801788,316.801788,102469600
2012-08-01,318.968964,344.839844,312.017029,342.887878,342.887878,94031300
2012-09-01,342.617615,382.827820,337.087097,377.627625,377.627625,120233800
2012-10-01,379.904907,387.577576,335.185181,340.490479,340.490479,143452800
2012-11-01,340.090088,349.959961,318.318329,349.534546,349.534546,93264000
2012-12-01,351.471466,364.914917,341.506500,354.044037,354.044037,83306700
2013-01-01,360.070068,380.855865,348.108093,378.223236,378.223236,104704600
2013-02-01,379.479492,404.889893,379.429443,401.001007,401.001007,92587100
2013-03-01,399.299286,422.422424,397.047058,397.492493,397.492493,85011800
2013-04-01,397.902893,414.234222,381.011017,412.697693,412.697693,106996300
2013-05-01,412.042053,460.760773,408.588593,436.046051,436.046051,98734600
2013-06-01,436.936951,455.875885,424.034027,440.625641,440.625641,97063000
2013-07-01,443.668671,464.464478,438.243256,444.319305,444.319305,102387300
2013-08-01,447.947937,455.310303,423.203217,423.873871,423.873871,66906000
2013-09-01,427.607605,453.448456,427.402405,438.393402,438.393402,66180000
2013-10-01,440.565552,521.281311,421.911926,515.805786,515.805786,110337300
2013-11-01,516.411438,534.534546,503.002991,530.325317,530.325317,52459700
2013-12-01,532.287292,561.061035,525.035034,560.915894,560.915894,67617600
2014-01-01,558.288269,593.863892,541.676697,591.076050,591.076050,108913300
2014-02-01,590.190186,615.055054,564.574585,608.433411,608.433411,81010500
2014-03-01,603.979004,614.109131,551.601624,557.812805,557.812805,87224100
2014-04-01,560.695679,588.299988,511.000000,534.880005,534.880005,71064200
2014-05-01,534.250000,577.659973,511.089996,571.650024,571.650024,41456800
2014-06-01,569.750000,589.599976,547.469971,584.669983,584.669983,39489200
2014-07-01,587.650024,608.909973,572.099976,579.549988,579.549988,38583300
2014-08-01,578.549988,597.809998,567.450012,582.359985,582.359985,29078700
2014-09-01,582.950012,605.400024,577.010010,588.409973,588.409973,35425100
2014-10-01,586.799988,592.400024,518.409973,567.869995,567.869995,55481600
2014-11-01,563.530029,567.150024,539.190002,549.080017,549.080017,29770500
2014-12-01,545.090027,548.789978,497.190002,530.659973,530.659973,54434300
2015-01-01,532.599976,545.409973,490.910004,537.549988,537.549988,52833100
2015-02-01,534.320007,569.419983,521.719971,562.630005,562.630005,40279000
2015-03-01,567.000000,583.200012,550.330017,554.700012,554.700012,43111000
2015-04-01,554.830017,584.700012,529.000000,548.770020,548.770020,43726200
2015-05-01,550.510010,558.239990,532.239990,545.320007,545.320007,32316300
2015-06-01,548.729980,565.609985,538.849976,540.039978,540.039978,35210300
2015-07-01,543.659973,713.330017,539.760010,657.500000,657.500000,68542900
2015-08-01,657.659973,704.000000,593.090027,647.820007,647.820007,55075400
2015-09-01,633.809998,681.989990,617.840027,638.369995,638.369995,43501600
2015-10-01,637.940002,752.500000,631.119995,737.390015,737.390015,50252700
2015-11-01,734.530029,782.900024,731.450012,762.849976,762.849976,37565500
2015-12-01,766.940002,798.690002,736.260010,778.010010,778.010010,43620900
2016-01-01,762.200012,769.200012,687.780029,761.349976,761.349976,51988400
2016-02-01,771.260010,810.349976,682.010010,717.219971,717.219971,67590200
2016-03-01,721.299988,777.309998,704.000000,762.900024,762.900024,42646200
2016-04-01,757.159973,790.950012,703.200012,707.880005,707.880005,46641200
2016-05-01,711.919983,753.479980,704.049988,748.849976,748.849976,33930900
2016-06-01,748.469971,751.369995,672.659973,703.530029,703.530029,41964400
2016-07-01,705.099976,803.940002,699.000000,791.340027,791.340027,32628700
2016-08-01,786.669983,813.880005,785.039978,789.849976,789.849976,28844600
2016-09-01,791.979980,819.059998,783.500000,804.059998,804.059998,31539500
2016-10-01,802.549988,839.000000,796.229980,809.900024,809.900024,35367800
2016-11-01,810.869995,816.039978,743.590027,775.880005,775.880005,48316100
2016-12-01,778.549988,824.299988,753.359985,809.450012,809.450012,37850700
2017-01-01,800.619995,867.000000,796.890015,820.190002,820.190002,36829400
2017-02-01,824.000000,853.789978,812.049988,844.929993,844.929993,26423800
2017-03-01,851.380005,874.419983,824.299988,847.799988,847.799988,34550100
2017-04-01,848.750000,935.900024,834.599976,924.520020,924.520020,28673500
2017-05-01,924.150024,999.599976,920.799988,987.090027,987.090027,35359300
2017-06-01,990.960022,1008.609985,929.599976,929.679993,929.679993,44077300
2017-07-01,933.219971,1006.190002,915.309998,945.500000,945.500000,41908600
2017-08-01,947.809998,957.200012,918.599976,955.239990,955.239990,32844100
2017-09-01,957.469971,975.809998,924.510010,973.719971,973.719971,29626200
2017-10-01,975.650024,1063.619995,961.950012,1033.040039,1033.040039,36853800
2017-11-01,1036.319946,1080.000000,1028.660034,1036.170044,1036.170044,28686000
2017-12-01,1030.410034,1086.489990,1002.320007,1053.400024,1053.400024,29940500
2018-01-01,1053.020020,1198.000000,1053.020020,1182.219971,1182.219971,32882300
2018-02-01,1175.989990,1187.449951,997.000000,1103.920044,1103.920044,51340700
2018-03-01,1109.540039,1178.160034,984.000000,1037.140015,1037.140015,52116800
2018-04-01,1027.619995,1097.510010,994.250000,1018.580017,1018.580017,49246400
2018-05-01,1016.299988,1118.150024,1007.890015,1100.000000,1100.000000,36987300
2018-06-01,1112.869995,1201.489990,1112.010010,1184.069946,1184.069946,26790700
2018-06-20,1183.300049,1201.489990,1182.030029,1184.069946,1184.069946,2322981
